sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
1123262:2	The combination of super-fresh ingredients in the dishes are unusual but really delicious .	ingredients	food quality	positive	food quality positive	yes	5	6
1123262:2	The combination of super-fresh ingredients in the dishes are unusual but really delicious .	ingredients	food quality	neutral	food quality neutral	no	0	0
1123262:3	Worth the trip from Manhattan .	NULL	restaurant general	negative	restaurant general negative	no	0	0
1123262:3	Worth the trip from Manhattan .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1123262:3	Worth the trip from Manhattan .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	Pastrami	food quality	negative	food quality negative	no	0	0
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	Pastrami	food quality	positive	food quality positive	yes	2	3
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	Pastrami	food quality	neutral	food quality neutral	no	0	0
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	portion	food style_options	negative	food style_options negative	no	0	0
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	portion	food style_options	positive	food style_options positive	yes	8	9
1125006:1	Best Pastrami I ever had and great portion without being ridiculous .	portion	food style_options	neutral	food style_options neutral	no	0	0
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	negative	food style_options negative	no	0	0
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	positive	food style_options positive	yes	5	7
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	neutral	food style_options neutral	no	0	0
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	negative	food quality negative	no	0	0
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	positive	food quality positive	yes	5	7
1125006:3	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	neutral	food quality neutral	no	0	0
1125284:0	As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .	place	restaurant general	negative	restaurant general negative	no	0	0
1125284:0	As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .	place	restaurant general	positive	restaurant general positive	yes	26	27
1125284:0	As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1125284:1	This place is the most Japanese it can ever get .	place	restaurant miscellaneous	negative	restaurant miscellaneous negative	no	0	0
1125284:1	This place is the most Japanese it can ever get .	place	restaurant miscellaneous	positive	restaurant miscellaneous positive	yes	2	3
1125284:1	This place is the most Japanese it can ever get .	place	restaurant miscellaneous	neutral	restaurant miscellaneous neutral	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	signs	restaurant miscellaneous	negative	restaurant miscellaneous negative	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	signs	restaurant miscellaneous	positive	restaurant miscellaneous positive	yes	2	3
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	signs	restaurant miscellaneous	neutral	restaurant miscellaneous neutral	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	specials menus	food style_options	negative	food style_options negative	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	specials menus	food style_options	positive	food style_options positive	yes	5	7
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	specials menus	food style_options	neutral	food style_options neutral	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	food	food quality	negative	food quality negative	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	food	food quality	positive	food quality positive	yes	8	9
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	food	food quality	neutral	food quality neutral	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	waitstaff	service general	negative	service general negative	no	0	0
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	waitstaff	service general	positive	service general positive	yes	14	15
1125284:2	The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .	waitstaff	service general	neutral	service general neutral	no	0	0
1125284:3	This place is worth an one-hour drive .	place	restaurant general	negative	restaurant general negative	no	0	0
1125284:3	This place is worth an one-hour drive .	place	restaurant general	positive	restaurant general positive	yes	2	3
1125284:3	This place is worth an one-hour drive .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1125284:4	I am so coming back here again , as much as I can .	NULL	restaurant general	negative	restaurant general negative	no	0	0
1125284:4	I am so coming back here again , as much as I can .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1125284:4	I am so coming back here again , as much as I can .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	restaurant general	negative	restaurant general negative	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	restaurant general	positive	restaurant general positive	yes	1	2
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	restaurant general	neutral	restaurant general neutral	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	ambience general	negative	ambience general negative	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	ambience general	positive	ambience general positive	yes	1	2
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	Leon	ambience general	neutral	ambience general neutral	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	specials	food quality	negative	food quality negative	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	specials	food quality	positive	food quality positive	yes	21	22
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	specials	food quality	neutral	food quality neutral	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	atmosphere	ambience general	negative	ambience general negative	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	atmosphere	ambience general	positive	ambience general positive	yes	27	28
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	atmosphere	ambience general	neutral	ambience general neutral	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	French bistro fare	food quality	negative	food quality negative	no	0	0
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	French bistro fare	food quality	positive	food quality positive	yes	16	19
1126814:0	Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .	French bistro fare	food quality	neutral	food quality neutral	no	0	0
1126814:1	My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	staff	service general	negative	service general negative	no	0	0
1126814:1	My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	staff	service general	positive	service general positive	yes	18	19
1126814:1	My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	staff	service general	neutral	service general neutral	no	0	0
1126814:3	Decent wine at reasonable prices .	wine	drinks quality	negative	drinks quality negative	no	0	0
1126814:3	Decent wine at reasonable prices .	wine	drinks quality	positive	drinks quality positive	no	0	0
1126814:3	Decent wine at reasonable prices .	wine	drinks quality	neutral	drinks quality neutral	yes	2	3
1126814:3	Decent wine at reasonable prices .	wine	drinks prices	negative	drinks prices negative	no	0	0
1126814:3	Decent wine at reasonable prices .	wine	drinks prices	positive	drinks prices positive	yes	2	3
1126814:3	Decent wine at reasonable prices .	wine	drinks prices	neutral	drinks prices neutral	no	0	0
1126814:4	Have been dozens of times and never failed to enjoy the experience .	NULL	restaurant general	negative	restaurant general negative	no	0	0
1126814:4	Have been dozens of times and never failed to enjoy the experience .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1126814:4	Have been dozens of times and never failed to enjoy the experience .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1126814:5	Our teenage kids love it , too .	NULL	restaurant general	negative	restaurant general negative	no	0	0
1126814:5	Our teenage kids love it , too .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1126814:5	Our teenage kids love it , too .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1126886:0	Everytime I decide to try another place on the UES , I get angry that I didn 't just go to Zucchero Pomodori .	Zucchero Pomodori	restaurant general	negative	restaurant general negative	no	0	0
1126886:0	Everytime I decide to try another place on the UES , I get angry that I didn 't just go to Zucchero Pomodori .	Zucchero Pomodori	restaurant general	positive	restaurant general positive	yes	22	24
1126886:0	Everytime I decide to try another place on the UES , I get angry that I didn 't just go to Zucchero Pomodori .	Zucchero Pomodori	restaurant general	neutral	restaurant general neutral	no	0	0
1126886:1	This is by far my favorite place in the neighborhood .	place	restaurant general	negative	restaurant general negative	no	0	0
1126886:1	This is by far my favorite place in the neighborhood .	place	restaurant general	positive	restaurant general positive	yes	7	8
1126886:1	This is by far my favorite place in the neighborhood .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	negative	service general negative	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	positive	service general positive	yes	2	3
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	neutral	service general neutral	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	negative	ambience general negative	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	positive	ambience general positive	yes	7	8
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	neutral	ambience general neutral	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	negative	food quality negative	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	positive	food quality positive	yes	13	14
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	neutral	food quality neutral	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	negative	food style_options negative	no	0	0
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	positive	food style_options positive	yes	20	21
1126886:2	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	neutral	food style_options neutral	no	0	0
1126886:4	I 'm partial to the Gnocchi .	Gnocchi	restaurant general	negative	restaurant general negative	no	0	0
1126886:4	I 'm partial to the Gnocchi .	Gnocchi	restaurant general	positive	restaurant general positive	yes	6	7
1126886:4	I 'm partial to the Gnocchi .	Gnocchi	restaurant general	neutral	restaurant general neutral	no	0	0
1131595:0	This place is incredibly tiny .	place	ambience general	negative	ambience general negative	yes	2	3
1131595:0	This place is incredibly tiny .	place	ambience general	positive	ambience general positive	no	0	0
1131595:0	This place is incredibly tiny .	place	ambience general	neutral	ambience general neutral	no	0	0
1131595:1	They refuse to seat parties of 3 or more on weekends .	NULL	service general	negative	service general negative	yes	0	0
1131595:1	They refuse to seat parties of 3 or more on weekends .	NULL	service general	positive	service general positive	no	0	0
1131595:1	They refuse to seat parties of 3 or more on weekends .	NULL	service general	neutral	service general neutral	no	0	0
1131595:2	The hostess is rude to the point of being offensive .	hostess	service general	negative	service general negative	yes	2	3
1131595:2	The hostess is rude to the point of being offensive .	hostess	service general	positive	service general positive	no	0	0
1131595:2	The hostess is rude to the point of being offensive .	hostess	service general	neutral	service general neutral	no	0	0
1131595:3	The food was bland oily .	food	food quality	negative	food quality negative	yes	2	3
1131595:3	The food was bland oily .	food	food quality	positive	food quality positive	no	0	0
1131595:3	The food was bland oily .	food	food quality	neutral	food quality neutral	no	0	0
1131595:4	I just don 't understand all the hype . . .	NULL	restaurant general	negative	restaurant general negative	yes	0	0
1131595:4	I just don 't understand all the hype . . .	NULL	restaurant general	positive	restaurant general positive	no	0	0
1131595:4	I just don 't understand all the hype . . .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	food	food quality	negative	food quality negative	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	food	food quality	positive	food quality positive	yes	14	15
1138996:1	We have been to this place many times , and always have great food , wine , and service .	food	food quality	neutral	food quality neutral	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	wine	drinks quality	negative	drinks quality negative	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	wine	drinks quality	positive	drinks quality positive	yes	16	17
1138996:1	We have been to this place many times , and always have great food , wine , and service .	wine	drinks quality	neutral	drinks quality neutral	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	service	service general	negative	service general negative	no	0	0
1138996:1	We have been to this place many times , and always have great food , wine , and service .	service	service general	positive	service general positive	yes	19	20
1138996:1	We have been to this place many times , and always have great food , wine , and service .	service	service general	neutral	service general neutral	no	0	0
1138996:2	We were worried we would have trouble getting in , but somehow managed to have a short wait .	wait	service general	negative	service general negative	no	0	0
1138996:2	We were worried we would have trouble getting in , but somehow managed to have a short wait .	wait	service general	positive	service general positive	yes	18	19
1138996:2	We were worried we would have trouble getting in , but somehow managed to have a short wait .	wait	service general	neutral	service general neutral	no	0	0
1138996:3	As always we had a great glass of wine while we waited .	glass of wine	drinks quality	negative	drinks quality negative	no	0	0
1138996:3	As always we had a great glass of wine while we waited .	glass of wine	drinks quality	positive	drinks quality positive	yes	7	10
1138996:3	As always we had a great glass of wine while we waited .	glass of wine	drinks quality	neutral	drinks quality neutral	no	0	0
1138996:4	When we sat , we got great and fast service .	service	service general	negative	service general negative	no	0	0
1138996:4	When we sat , we got great and fast service .	service	service general	positive	service general positive	yes	10	11
1138996:4	When we sat , we got great and fast service .	service	service general	neutral	service general neutral	no	0	0
1138996:5	The people that work there are always so friendly you forget you are in New York sometimes .	people	service general	negative	service general negative	no	0	0
1138996:5	The people that work there are always so friendly you forget you are in New York sometimes .	people	service general	positive	service general positive	yes	2	3
1138996:5	The people that work there are always so friendly you forget you are in New York sometimes .	people	service general	neutral	service general neutral	no	0	0
1138996:6	Make sure you try this place as often as you can .	place	restaurant general	negative	restaurant general negative	no	0	0
1138996:6	Make sure you try this place as often as you can .	place	restaurant general	positive	restaurant general positive	yes	6	7
1138996:6	Make sure you try this place as often as you can .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1145510:0	This is a fun restaurant to go to .	restaurant	restaurant general	negative	restaurant general negative	no	0	0
1145510:0	This is a fun restaurant to go to .	restaurant	restaurant general	positive	restaurant general positive	yes	5	6
1145510:0	This is a fun restaurant to go to .	restaurant	restaurant general	neutral	restaurant general neutral	no	0	0
1145510:1	The pizza is yummy and I like the atmoshpere .	pizza	food quality	negative	food quality negative	no	0	0
1145510:1	The pizza is yummy and I like the atmoshpere .	pizza	food quality	positive	food quality positive	yes	2	3
1145510:1	The pizza is yummy and I like the atmoshpere .	pizza	food quality	neutral	food quality neutral	no	0	0
1145510:1	The pizza is yummy and I like the atmoshpere .	atmoshpere	ambience general	negative	ambience general negative	no	0	0
1145510:1	The pizza is yummy and I like the atmoshpere .	atmoshpere	ambience general	positive	ambience general positive	yes	9	10
1145510:1	The pizza is yummy and I like the atmoshpere .	atmoshpere	ambience general	neutral	ambience general neutral	no	0	0
1145510:2	But the pizza is way to expensive .	pizza	food prices	negative	food prices negative	yes	3	4
1145510:2	But the pizza is way to expensive .	pizza	food prices	positive	food prices positive	no	0	0
1145510:2	But the pizza is way to expensive .	pizza	food prices	neutral	food prices neutral	no	0	0
1147082:0	I went there for lunch and it was not as good as I expected from the reviews I read .	lunch	food quality	negative	food quality negative	yes	5	6
1147082:0	I went there for lunch and it was not as good as I expected from the reviews I read .	lunch	food quality	positive	food quality positive	no	0	0
1147082:0	I went there for lunch and it was not as good as I expected from the reviews I read .	lunch	food quality	neutral	food quality neutral	no	0	0
1147082:1	Sauce was watery and the food didn 't have much flavor .	Sauce	food quality	negative	food quality negative	yes	1	2
1147082:1	Sauce was watery and the food didn 't have much flavor .	Sauce	food quality	positive	food quality positive	no	0	0
1147082:1	Sauce was watery and the food didn 't have much flavor .	Sauce	food quality	neutral	food quality neutral	no	0	0
1147082:1	Sauce was watery and the food didn 't have much flavor .	food	food quality	negative	food quality negative	yes	6	7
1147082:1	Sauce was watery and the food didn 't have much flavor .	food	food quality	positive	food quality positive	no	0	0
1147082:1	Sauce was watery and the food didn 't have much flavor .	food	food quality	neutral	food quality neutral	no	0	0
1147082:3	I don 't think I would go again .	NULL	restaurant general	negative	restaurant general negative	yes	0	0
1147082:3	I don 't think I would go again .	NULL	restaurant general	positive	restaurant general positive	no	0	0
1147082:3	I don 't think I would go again .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1147211:0	This place is great .	place	restaurant general	negative	restaurant general negative	no	0	0
1147211:0	This place is great .	place	restaurant general	positive	restaurant general positive	yes	2	3
1147211:0	This place is great .	place	restaurant general	neutral	restaurant general neutral	no	0	0
1147211:1	I had a huge group for my birthday and we were well taken care of .	NULL	service general	negative	service general negative	no	0	0
1147211:1	I had a huge group for my birthday and we were well taken care of .	NULL	service general	positive	service general positive	yes	0	0
1147211:1	I had a huge group for my birthday and we were well taken care of .	NULL	service general	neutral	service general neutral	no	0	0
1147211:2	The waitress was very patient with us and the food is phenomenal !	waitress	service general	negative	service general negative	no	0	0
1147211:2	The waitress was very patient with us and the food is phenomenal !	waitress	service general	positive	service general positive	yes	2	3
1147211:2	The waitress was very patient with us and the food is phenomenal !	waitress	service general	neutral	service general neutral	no	0	0
1147211:2	The waitress was very patient with us and the food is phenomenal !	food	food quality	negative	food quality negative	no	0	0
1147211:2	The waitress was very patient with us and the food is phenomenal !	food	food quality	positive	food quality positive	yes	10	11
1147211:2	The waitress was very patient with us and the food is phenomenal !	food	food quality	neutral	food quality neutral	no	0	0
1147211:3	Service was prompt , friendly and great .	Service	service general	negative	service general negative	no	0	0
1147211:3	Service was prompt , friendly and great .	Service	service general	positive	service general positive	yes	1	2
1147211:3	Service was prompt , friendly and great .	Service	service general	neutral	service general neutral	no	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant prices	negative	restaurant prices negative	yes	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant prices	positive	restaurant prices positive	no	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant prices	neutral	restaurant prices neutral	no	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant general	negative	restaurant general negative	no	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1147211:4	Slightly on the pricey side but worth it !	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1153034:0	Great pizza and fantastic service .	pizza	food quality	negative	food quality negative	no	0	0
1153034:0	Great pizza and fantastic service .	pizza	food quality	positive	food quality positive	yes	2	3
1153034:0	Great pizza and fantastic service .	pizza	food quality	neutral	food quality neutral	no	0	0
1153034:0	Great pizza and fantastic service .	service	service general	negative	service general negative	no	0	0
1153034:0	Great pizza and fantastic service .	service	service general	positive	service general positive	yes	5	6
1153034:0	Great pizza and fantastic service .	service	service general	neutral	service general neutral	no	0	0
1153034:1	There was a small wait , but shorter than I expected .	wait	service general	negative	service general negative	no	0	0
1153034:1	There was a small wait , but shorter than I expected .	wait	service general	positive	service general positive	yes	5	6
1153034:1	There was a small wait , but shorter than I expected .	wait	service general	neutral	service general neutral	no	0	0
1153034:2	Located at the end of a magnificent block .	NULL	location general	negative	location general negative	no	0	0
1153034:2	Located at the end of a magnificent block .	NULL	location general	positive	location general positive	yes	0	0
1153034:2	Located at the end of a magnificent block .	NULL	location general	neutral	location general neutral	no	0	0
1153034:3	Very cozy and warm inside . . . . .	NULL	ambience general	negative	ambience general negative	no	0	0
1153034:3	Very cozy and warm inside . . . . .	NULL	ambience general	positive	ambience general positive	yes	0	0
1153034:3	Very cozy and warm inside . . . . .	NULL	ambience general	neutral	ambience general neutral	no	0	0
1153034:4	I will be back !	NULL	restaurant general	negative	restaurant general negative	no	0	0
1153034:4	I will be back !	NULL	restaurant general	positive	restaurant general positive	yes	0	0
1153034:4	I will be back !	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
1154550:0	This is the best sushi in new york city - hands down .	sushi	food quality	negative	food quality negative	no	0	0
1154550:0	This is the best sushi in new york city - hands down .	sushi	food quality	positive	food quality positive	yes	5	6
1154550:0	This is the best sushi in new york city - hands down .	sushi	food quality	neutral	food quality neutral	no	0	0
1154550:1	The place is small and cramped but the food is fantastic .	place	ambience general	negative	ambience general negative	yes	2	3
1154550:1	The place is small and cramped but the food is fantastic .	place	ambience general	positive	ambience general positive	no	0	0
1154550:1	The place is small and cramped but the food is fantastic .	place	ambience general	neutral	ambience general neutral	no	0	0
1154550:1	The place is small and cramped but the food is fantastic .	food	food quality	negative	food quality negative	no	0	0
1154550:1	The place is small and cramped but the food is fantastic .	food	food quality	positive	food quality positive	yes	9	10
1154550:1	The place is small and cramped but the food is fantastic .	food	food quality	neutral	food quality neutral	no	0	0
1154550:2	Get the tuna of gari .	tuna of gari	food quality	negative	food quality negative	no	0	0
1154550:2	Get the tuna of gari .	tuna of gari	food quality	positive	food quality positive	yes	3	6
1154550:2	Get the tuna of gari .	tuna of gari	food quality	neutral	food quality neutral	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	sushi	food quality	negative	food quality negative	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	sushi	food quality	positive	food quality positive	yes	18	19
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	sushi	food quality	neutral	food quality neutral	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	thai food	food quality	negative	food quality negative	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	thai food	food quality	positive	food quality positive	yes	26	28
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	thai food	food quality	neutral	food quality neutral	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	Planet Thailand	restaurant general	negative	restaurant general negative	no	0	0
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	Planet Thailand	restaurant general	positive	restaurant general positive	yes	1	3
1162037:0	Planet Thailand has always been a hit with me  , I go there usually for the sushi , which is great  , the thai food is excellent too  .	Planet Thailand	restaurant general	neutral	restaurant general neutral	no	0	0
1162037:1	With the great variety on the menu  , I eat here often and never get bored  .	menu	food style_options	negative	food style_options negative	no	0	0
1162037:1	With the great variety on the menu  , I eat here often and never get bored  .	menu	food style_options	positive	food style_options positive	yes	7	8
1162037:1	With the great variety on the menu  , I eat here often and never get bored  .	menu	food style_options	neutral	food style_options neutral	no	0	0
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	atmosphere	ambience general	negative	ambience general negative	yes	2	3
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	atmosphere	ambience general	positive	ambience general positive	no	0	0
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	atmosphere	ambience general	neutral	ambience general neutral	no	0	0
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	NULL	restaurant prices	negative	restaurant prices negative	no	0	0
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	NULL	restaurant prices	positive	restaurant prices positive	yes	0	0
1162037:2	The atmosphere isn 't the greatest  , but I suppose that 's how they keep the prices down  .	NULL	restaurant prices	neutral	restaurant prices neutral	no	0	0
1162037:3	It 's all about the food  ! !	food	food quality	negative	food quality negative	no	0	0
1162037:3	It 's all about the food  ! !	food	food quality	positive	food quality positive	yes	6	7
1162037:3	It 's all about the food  ! !	food	food quality	neutral	food quality neutral	no	0	0
1167434:1	first it took us a long time to find the place .	place	restaurant miscellaneous	negative	restaurant miscellaneous negative	yes	11	12
1167434:1	first it took us a long time to find the place .	place	restaurant miscellaneous	positive	restaurant miscellaneous positive	no	0	0
1167434:1	first it took us a long time to find the place .	place	restaurant miscellaneous	neutral	restaurant miscellaneous neutral	no	0	0
1167434:3	but when we looked at the menu , there weren 't a lot of choices , most of them were dumplings in the appetizer section .	menu	food style_options	negative	food style_options negative	yes	7	8
1167434:3	but when we looked at the menu , there weren 't a lot of choices , most of them were dumplings in the appetizer section .	menu	food style_options	positive	food style_options positive	no	0	0
1167434:3	but when we looked at the menu , there weren 't a lot of choices , most of them were dumplings in the appetizer section .	menu	food style_options	neutral	food style_options neutral	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food style_options	negative	food style_options negative	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food style_options	positive	food style_options positive	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food style_options	neutral	food style_options neutral	yes	2	3
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food quality	negative	food quality negative	yes	2	3
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food quality	positive	food quality positive	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	rolls	food quality	neutral	food quality neutral	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	sashimi	food quality	negative	food quality negative	yes	10	11
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	sashimi	food quality	positive	food quality positive	no	0	0
1167434:5	those rolls were big , but not good and sashimi wasn 't fresh .	sashimi	food quality	neutral	food quality neutral	no	0	0
1167434:6	they were dry and disgusting , i didn 't even finish my first piece .	NULL	food quality	negative	food quality negative	yes	0	0
1167434:6	they were dry and disgusting , i didn 't even finish my first piece .	NULL	food quality	positive	food quality positive	no	0	0
1167434:6	they were dry and disgusting , i didn 't even finish my first piece .	NULL	food quality	neutral	food quality neutral	no	0	0
1175958:0	Hurley 's is like Cheers where everyone knows your name and they are ACTUALLY glad you came .	NULL	service general	negative	service general negative	no	0	0
1175958:0	Hurley 's is like Cheers where everyone knows your name and they are ACTUALLY glad you came .	NULL	service general	positive	service general positive	yes	0	0
1175958:0	Hurley 's is like Cheers where everyone knows your name and they are ACTUALLY glad you came .	NULL	service general	neutral	service general neutral	no	0	0
1175958:1	Try the crunchy tuna , it is to die for .	crunchy tuna	food quality	negative	food quality negative	no	0	0
1175958:1	Try the crunchy tuna , it is to die for .	crunchy tuna	food quality	positive	food quality positive	yes	3	5
1175958:1	Try the crunchy tuna , it is to die for .	crunchy tuna	food quality	neutral	food quality neutral	no	0	0
1175958:2	Try everything for that matter , it is all good .	NULL	food quality	negative	food quality negative	no	0	0
1175958:2	Try everything for that matter , it is all good .	NULL	food quality	positive	food quality positive	yes	0	0
